#,catalog,sub category,Name,Price,date
1787,Багеты,Потолочные багеты,C103/80,"19,00 ",09.01.2024
1789,Багеты,Потолочные багеты,C105/70,"17,50 ",09.01.2024
1791,Багеты,Потолочные багеты,C109/80,"19,00 ",09.01.2024
1793,Багеты,Потолочные багеты,C116/70,"18,50 ",09.01.2024
1795,Багеты,Потолочные багеты,C168/90,"24,50 ",09.01.2024
1797,Багеты,Потолочные багеты,C169/80,"19,00 ",09.01.2024
1799,Багеты,Потолочные багеты,C170/90,"23,50 ",09.01.2024
1801,Багеты,Потолочные багеты,C171/95,"21,50 ",09.01.2024
1807,Багеты,Потолочные багеты,C23/70,"18,00 ",09.01.2024
1809,Багеты,Потолочные багеты,C604/70,"16,50 ",09.01.2024
1811,Багеты,Потолочные багеты,C606/90,"19,50 ",09.01.2024
1813,Багеты,Потолочные багеты,C612/80,"20,00 ",09.01.2024
1815,Багеты,Потолочные багеты,C617/100,"26,00 ",09.01.2024
1817,Багеты,Потолочные багеты,C620/70,"14,50 ",09.01.2024
1819,Багеты,Потолочные багеты,C637/77,"23,00 ",09.01.2024
1821,Багеты,Потолочные багеты,C639/85,"21,00 ",09.01.2024
1823,Багеты,Потолочные багеты,C640/68,"19,00 ",09.01.2024
1825,Багеты,Потолочные багеты,C641/84,"21,50 ",09.01.2024
1827,Багеты,Потолочные багеты,C643/84,"21,50 ",09.01.2024
1829,Багеты,Потолочные багеты,C649/85,"22,00 ",09.01.2024
1831,Багеты,Потолочные багеты,C650/85,"21,50 ",09.01.2024
1833,Багеты,Потолочные багеты,C652/130,"42,00 ",09.01.2024
1835,Багеты,Потолочные багеты,C653/155,"52,00 ",09.01.2024
1837,Багеты,Потолочные багеты,C654/85,"22,00 ",09.01.2024
1839,Багеты,Потолочные багеты,C656/135,"42,00 ",09.01.2024
1853,Багеты,Потолочные багеты,С02/30,"4,00 ",09.01.2024
1855,Багеты,Потолочные багеты,С03/35,"5,00 ",09.01.2024
1857,Багеты,Потолочные багеты,С04/50,"7,00 ",09.01.2024
1859,Багеты,Потолочные багеты,С06/30,"6,00 ",09.01.2024
1861,Багеты,Потолочные багеты,С07/50,"8,00 ",09.01.2024
1863,Багеты,Потолочные багеты,С08/80,"23,00 ",09.01.2024
1865,Багеты,Потолочные багеты,С09/15,"3,00 ",09.01.2024
